Marker	LG	Distance (cM)	Sctg	Position_Sctg
36915_sctg_207_31842	1	0	207	31842
36941_sctg_207_61615	1	0	207	61615
36956_sctg_207_77757	1	0	207	77757
36957_sctg_207_78332	1	0	207	78332
36972_sctg_207_94039	1	0	207	94039
36788_sctg_207_116303	1	0.652	207	116303
36812_sctg_207_158925	1	1.25	207	158925
36819_sctg_207_165424	1	1.25	207	165424
36828_sctg_207_190813	1	1.25	207	190813
36830_sctg_207_191645	1	1.25	207	191645
36834_sctg_207_195961	1	1.25	207	195961
36855_sctg_207_233632	1	1.25	207	233632
36881_sctg_207_258658	1	1.25	207	258658
82072_sctg_486_41893	1	3.756	486	41893
85634_sctg_516_36614	1	3.756	516	36614
85638_sctg_516_50582	1	3.756	516	50582
41729_sctg_228_54471	1	6.269	228	54471
41602_sctg_228_136095	1	7.525	228	136095
41678_sctg_228_227267	1	11.297	228	227267
21418_sctg_151_323969	1	11.297	151	323969
21414_sctg_151_320879	1	13.812	151	320879
21392_sctg_151_312540	1	13.812	151	312540
21383_sctg_151_305060	1	13.812	151	305060
21351_sctg_151_252803	1	13.812	151	252803
21350_sctg_151_252499	1	13.812	151	252499
21340_sctg_151_244184	1	13.812	151	244184
21291_sctg_151_117640	1	17.569	151	117640
21364_sctg_151_27947	1	17.569	151	27947
7452_sctg_112_82935	1	23.852	112	82935
7167_sctg_112_113842	1	23.852	112	113842
7175_sctg_112_118589	1	23.852	112	118589
7199_sctg_112_147672	1	23.852	112	147672
7207_sctg_112_160726	1	26.637	112	160726
7349_sctg_112_373124	1	32.203	112	373124
7418_sctg_112_489856	1	32.203	112	489856
73211_sctg_3_8222	1	32.203	3	8222
72852_sctg_3_26517	1	32.203	3	26517
72857_sctg_3_26803	1	32.203	3	26803
72807_sctg_3_170239	1	34.969	3	170239
72838_sctg_3_242958	1	37.738	3	242958
72856_sctg_3_266777	1	38.993	3	266777
72870_sctg_3_291519	1	38.993	3	291519
72880_sctg_3_319404	1	38.993	3	319404
72924_sctg_3_392275	1	38.993	3	392275
72935_sctg_3_407429	1	38.993	3	407429
72962_sctg_3_458084	1	40.243	3	458084
72963_sctg_3_463614	1	40.243	3	463614
73041_sctg_3_582066	1	40.243	3	582066
73107_sctg_3_676238	1	40.243	3	676238
73113_sctg_3_682070	1	40.243	3	682070
73229_sctg_3_873846	1	47.62	3	873846
73291_sctg_3_954297	1	49.089	3	954297
73302_sctg_3_971528	1	49.089	3	971528
73315_sctg_3_998478	1	50.353	3	998478
72559_sctg_3_1364270	1	54.123	3	1364270
72574_sctg_3_1388467	1	54.123	3	1388467
72603_sctg_3_1412450	1	54.123	3	1412450
72627_sctg_3_1432922	1	54.123	3	1432922
