contig	length_kb	n_frags	cumul_length
sctg_0	3745584	10556	0
sctg_10	1271836	3886	10556
sctg_100	546921	1590	14442
sctg_1000	6814	33	16032
sctg_1001	6781	19	16065
sctg_1002	6756	15	16084
sctg_1003	6685	23	16099
sctg_1004	6716	19	16122
sctg_1006	6569	21	16141
sctg_1007	6562	22	16162
sctg_1008	6555	26	16184
sctg_1009	6537	20	16210
sctg_101	536733	1458	16230
sctg_1010	6597	16	17688
sctg_1011	6515	19	17704
sctg_1012	7358	58	17723
sctg_1013	6499	25	17781
sctg_1014	12980	31	17806
sctg_1015	6416	15	17837
sctg_1016	6410	27	17852
sctg_1017	6407	19	17879
sctg_1018	6380	19	17898
sctg_1019	6846	16	17917
sctg_102	520191	1484	17933
sctg_1020	6345	21	19417
sctg_1021	6315	11	19438
sctg_1022	6313	29	19449
sctg_1023	6307	20	19478
sctg_1024	6307	14	19498
sctg_1026	13677	11	19512
sctg_1027	8812	9	19523
sctg_1028	14884	20	19532
sctg_1029	6278	8	19552
sctg_103	523379	1429	19560
sctg_1030	6264	12	20989
sctg_1031	6254	20	21001
sctg_1032	6248	17	21021
sctg_1033	6243	22	21038
sctg_1034	6234	29	21060
sctg_1035	15066	10	21089
sctg_1036	8633	1	21099
sctg_1037	6207	15	21100
sctg_1038	6258	19	21115
sctg_1039	6183	27	21134
sctg_104	522721	1402	21161
sctg_1040	5073	31	22563
sctg_1041	6242	19	22594
sctg_1042	6125	22	22613
sctg_1043	6221	18	22635
sctg_1044	6079	12	22653
sctg_1045	6040	11	22665
sctg_1046	6030	27	22676
sctg_1047	6240	17	22703
sctg_1048	6016	26	22720
sctg_1049	6015	2	22746
sctg_105	521263	1316	22748
sctg_1051	5972	18	24064
sctg_1052	5968	24	24082
sctg_1053	13894	9	24106
sctg_1054	5951	17	24115
sctg_1055	6522	36	24132
sctg_1056	5934	8	24168
sctg_1058	5928	21	24176
sctg_1059	5925	28	24197
sctg_106	515965	1488	24225
sctg_1060	5909	15	25713
sctg_1061	5894	13	25728
sctg_1062	5885	18	25741
sctg_1063	5884	29	25759
sctg_1064	5876	26	25788
sctg_1065	5859	28	25814
sctg_1066	6827	7	25842
sctg_1067	5833	14	25849
sctg_1068	4032	14	25863
sctg_1069	5769	20	25877
sctg_107	521539	1419	25897
sctg_1070	5768	19	27316
sctg_1071	5764	12	27335
sctg_1072	5754	24	27347
sctg_1073	5752	27	27371
sctg_1074	5799	20	27398
sctg_1075	7698	16	27418
sctg_1076	5691	17	27434
sctg_1077	5660	22	27451
sctg_1078	5633	14	27473
sctg_1079	5697	23	27487
sctg_108	521807	1479	27510
sctg_1080	6036	6	28989
sctg_1081	5574	16	28995
sctg_1082	6817	2	29011
sctg_1083	5660	11	29013
sctg_1084	5551	19	29024
sctg_1085	7155	1	29043
sctg_1086	5498	10	29044
sctg_1087	5492	43	29054
sctg_1088	6276	4	29097
sctg_1089	10690	10	29101
sctg_109	511637	1505	29111
sctg_1090	6191	42	30616
sctg_1091	5426	22	30658
sctg_1092	5641	12	30680
sctg_1093	5414	8	30692
sctg_1094	6283	7	30700
sctg_1095	8793	8	30707
sctg_1097	5357	13	30715
sctg_1098	5323	20	30728
sctg_1099	6192	18	30748
sctg_11	1201849	3492	30766
sctg_110	518109	1332	34258
sctg_1100	5400	13	35590
sctg_1101	5385	10	35603
sctg_1102	5281	23	35613
sctg_1103	5404	12	35636
sctg_1104	5231	18	35648
sctg_1105	5188	14	35666
sctg_1106	5185	9	35680
sctg_1107	5357	8	35689
sctg_1108	5453	17	35697
sctg_1109	5160	21	35714
sctg_111	507503	1412	35735
sctg_1110	5157	15	37147
sctg_1111	6071	14	37162
sctg_1112	5134	20	37176
sctg_1113	9309	1	37196
sctg_1114	5082	14	37197
sctg_1115	6407	17	37211
sctg_1116	5232	8	37228
sctg_1117	5094	12	37236
sctg_1118	4977	13	37248
sctg_1119	13383	14	37261
sctg_112	523010	1389	37275
sctg_1120	4942	20	38664
sctg_1122	6119	11	38684
sctg_1123	6258	7	38695
sctg_1124	4916	8	38702
sctg_1125	5477	10	38710
sctg_1126	4914	12	38720
sctg_1127	5881	8	38732
sctg_1128	3611	8	38740
sctg_1129	12955	10	38748
sctg_113	497380	1394	38758
sctg_1130	4893	12	40152
sctg_1131	4847	16	40164
