contig	length_kb	n_frags	cumul_length
sctg_0	3745584	13	0
sctg_10	1271836	5	13
sctg_100	546921	2	18
sctg_1000	6814	1	20
sctg_1001	6781	2	21
sctg_1002	6756	2	23
sctg_1003	6685	2	25
sctg_1004	6716	2	27
sctg_1006	6569	1	29
sctg_1007	6549	2	30
sctg_1008	6555	1	32
sctg_1009	6537	2	33
sctg_101	536733	2	35
sctg_1010	6597	2	37
sctg_1011	6515	2	39
sctg_1012	7278	1	41
sctg_1013	6499	1	42
sctg_1014	12980	1	43
sctg_1015	6416	2	44
sctg_1016	6410	1	46
sctg_1017	6407	2	47
sctg_1018	6380	2	49
sctg_1019	6846	2	51
sctg_102	520191	2	53
sctg_1020	6345	1	55
sctg_1021	6315	2	56
sctg_1022	6313	1	58
sctg_1023	6307	2	59
sctg_1024	6307	2	61
sctg_1026	13677	2	63
sctg_1027	8812	1	65
sctg_1028	14884	1	66
sctg_1029	6278	1	67
sctg_103	523379	2	68
sctg_1030	6264	2	70
sctg_1031	6254	2	72
sctg_1032	6248	2	74
sctg_1033	6243	1	76
sctg_1034	6234	1	77
sctg_1035	15062	1	78
sctg_1036	8633	1	79
sctg_1037	6207	2	80
sctg_1038	6258	2	82
sctg_1039	6183	1	84
sctg_104	522721	2	85
sctg_1040	5073	2	87
sctg_1041	6242	2	89
sctg_1042	6125	2	91
sctg_1043	6221	2	93
sctg_1044	6079	2	95
sctg_1045	6040	2	97
sctg_1046	6030	1	99
sctg_1047	6240	2	100
sctg_1048	6016	1	102
sctg_1049	6015	2	103
sctg_105	521263	2	105
sctg_1051	5972	2	107
sctg_1052	5968	1	109
sctg_1053	13894	1	110
sctg_1054	5951	2	111
sctg_1055	6522	2	113
sctg_1056	5934	1	115
sctg_1058	5928	2	116
sctg_1059	5925	1	118
sctg_106	515965	2	119
sctg_1060	5909	2	121
sctg_1061	5894	2	123
sctg_1062	5885	2	125
sctg_1063	5884	1	127
sctg_1064	5876	1	128
sctg_1065	5859	1	129
sctg_1066	6827	1	130
sctg_1067	5833	2	131
sctg_1068	4000	2	133
sctg_1069	5761	1	135
sctg_107	521539	2	136
sctg_1070	5768	2	138
sctg_1071	5764	2	140
sctg_1072	5754	1	142
sctg_1073	5752	1	143
sctg_1074	5799	2	144
sctg_1075	7698	2	146
sctg_1076	5691	2	148
sctg_1077	5613	1	150
sctg_1078	5633	2	151
sctg_1079	5697	1	153
sctg_108	521777	2	154
sctg_1080	6036	2	156
sctg_1081	5574	2	158
sctg_1082	6817	2	160
sctg_1083	5660	2	162
sctg_1084	5551	2	164
sctg_1085	7155	1	166
sctg_1086	5498	2	167
sctg_1087	5492	1	169
sctg_1088	6276	2	170
sctg_1089	10690	2	172
sctg_109	511637	2	174
sctg_1090	6191	2	176
sctg_1091	5426	1	178
sctg_1092	5641	2	179
sctg_1093	5382	2	181
sctg_1094	6283	1	183
sctg_1095	8793	1	184
sctg_1097	5357	2	185
sctg_1098	5323	2	187
